pattern_ip,target_ip,data_type,text_length,pattern_length,naive_match_count,naive_time_sec,naive_comparisons,naive_peak_memory_mb,kmp_match_count,kmp_time_sec,kmp_comparisons,kmp_peak_memory_mb,kmp_speedup_ratio_time,kmp_reduction_ratio_comps
1,0,Flow,92,7,0,0.0005183330504223704,126,0,0,0.0003636250039562583,126,0,1.4254604187910096,1.0
1,1,Flow,56,7,41,0.0005112919025123119,323,0,41,0.0002810830483213067,74,0,1.8190065376260363,4.364864864864865
1,2,Flow,92,7,30,0.0006828340701758862,367,0,30,0.0004344169283285737,132,0,1.5718403810898933,2.7803030303030303
1,3,Flow,89,7,0,0.022033291985280812,83,0,0,0.0002739580813795328,95,0,80.42577855097689,0.8736842105263158
1,4,Flow,86,7,0,0.00038062501698732376,120,0,0,0.00029966700822114944,122,0,1.2701598993053937,0.9836065573770492
1,5,Flow,67,7,0,0.00026416697073727846,61,0,0,0.0001723329769447446,73,0,1.5328869460775274,0.8356164383561644
1,6,Flow,89,7,0,0.0004558749496936798,83,0,0,0.00022920791525393724,95,0,1.9889145154024037,0.8736842105263158
1,7,Flow,92,7,0,0.013957374962046742,91,0,0,0.0002686670050024986,102,0,51.95046173204982,0.8921568627450981
1,8,Flow,92,7,0,0.0004390000831335783,136,0,0,0.0003225830150768161,131,0,1.3608902596097319,1.0381679389312977
1,9,Flow,92,7,0,0.0006829169578850269,182,0,0,0.00036745902616530657,141,0,1.8584846452453374,1.2907801418439717
5,0,Flow,92,7,0,0.0004290830111131072,88,0,0,0.0002774999011307955,100,0,1.5462456359970567,0.88
5,1,Flow,56,7,0,0.013567375019192696,50,0,0,0.0001533330651000142,62,0,88.48303534754969,0.8064516129032258
5,2,Flow,92,7,0,0.00037875003181397915,86,0,0,0.0002376660704612732,98,0,1.5936226449104987,0.8775510204081632
5,3,Flow,89,7,46,0.0007348329527303576,463,0,46,0.0004508750280365348,130,0,1.6297929737435215,3.5615384615384613
5,4,Flow,86,7,0,0.0004015419399365783,81,0,0,0.00025633303448557854,93,0,1.566485337102227,0.8709677419354839
5,5,Flow,67,7,17,0.011964917066507041,261,0,17,0.0003184590023010969,112,0,37.5712948293245,2.330357142857143
