text_file_size_mb,target_ip,pattern_used,text_length_chars,pattern_length_chars,naive_match_count,naive_time_sec,naive_comparisons,kmp_match_count,kmp_time_sec,kmp_comparisons,kmp_speedup_ratio_time,kmp_reduction_ratio_comps
10,1,xxxxxxx,1048572,7,697599,0.5115548329995363,6231733,697599,0.21574566700292053,1343374,2.3711013069505187,4.638866763834941
10,3,mmmmmmm,1048572,7,530025,0.499490665999474,5608099,530025,0.18361862500023562,1472867,2.7202614440601165,3.8076072041806897
10,4,hxxhhxx,1048572,7,5054,0.3713039159993059,2128110,5054,0.16415199999755714,1642512,2.2619518251671105,1.2956435021479296
10,5,mmmmmmm,1048572,7,281769,0.4459340000030352,4525273,281769,0.17977616600546753,1643224,2.480495662531111,2.7538990423703646
10,6,mmmmmmh,1048572,7,55441,0.4430764580029063,4340609,55441,0.19474649999756366,1575995,2.2751446521937457,2.754202265870133
20,1,xxxxxxx,2097148,7,1395254,1.1656985829977202,12463189,1395254,0.3747510829998646,2686695,3.110594300799236,4.638855173363556
20,3,mmmmmmm,2097148,7,1060786,1.0191212909994647,11215686,1060786,0.3884897500029183,2945002,2.6232900378756687,3.808379756618162
20,4,hxxhhxx,2097148,7,10242,0.7550083749956684,4258191,10242,0.32744945799640846,3284522,2.3057249189398554,1.2964416131175251
20,5,mmmmmmm,2097148,7,561037,0.8933204589993693,9046827,561037,0.3561427500026184,3288957,2.508321337421024,2.750667460839409
20,6,mmmmmmh,2097148,7,111094,0.8726185830018949,8677723,111094,0.33609087499644374,3150724,2.5963768966090743,2.7541996696632265
30,1,xxxxxxx,3145724,7,2094429,1.4785904160016798,18697705,2094429,0.5314499590022024,4028497,2.7821818234358964,4.641360040729831
30,3,mmmmmmm,3145724,7,1590257,1.4315006250035367,16822985,1590257,0.5458273340045707,4418429,2.6226253905260624,3.807458488073476
30,4,hxxhhxx,3145724,7,15298,1.0995256250025705,6386209,15298,0.48958562500047265,4927192,2.245829062079813,1.2961153127379652
30,5,mmmmmmm,3145724,7,840268,1.313454165996518,13563990,840268,0.5304909170008614,4934721,2.4759220637030914,2.7486842721199434
30,6,mmmmmmh,3145724,7,166302,1.2894330409981194,13023267,166302,0.5040667909997865,4728122,2.558059892103992,2.7544270219761673
40,1,xxxxxxx,4194300,7,2790461,2.059738832998846,24925579,2790461,0.720172207998985,5373447,2.8600643153418512,4.638657271580049
40,3,mmmmmmm,4194300,7,2116921,1.9175503329970525,22421697,2116921,0.7271769580038381,5894663,2.636978952497188,3.80372838956188
40,4,hxxhhxx,4194300,7,20128,1.4896513329949812,8512963,20128,0.6534678750031162,6570352,2.279609128433249,1.2956631547290007
40,5,mmmmmmm,4194300,7,1121301,1.757603250000102,18085997,1121301,0.7039668330035056,6578686,2.4967131512449385,2.7491807634533703
40,6,mmmmmmh,4194300,7,221367,1.7307082080005785,17363313,221367,0.6731339160032803,6306371,2.5711201988998345,2.7532971022478696
50,1,xxxxxxx,5242876,7,3488597,2.49099945800117,31157984,3488597,0.8963867080019554,6716289,2.7789339531301214,4.63916665884985
50,3,mmmmmmm,5242876,7,2648888,2.583643541998754,28032359,2648888,1.0275942079970264,7365595,2.5142644069926776,3.805851258452304
50,4,hxxhhxx,5242876,7,25017,1.8870871670005727,10639210,25017,0.823704042006284,8213229,2.2909771844802678,1.2953748154349525
50,5,mmmmmmm,5242876,7,1401785,2.174903290993825,22606248,1401785,0.8821779159989092,8223197,2.4653794337292325,2.74908262565034
50,6,mmmmmmh,5242876,7,277311,2.2077384590011206,21707594,277311,0.8794665829991573,7879355,2.510315345322491,2.7549963163228464
